id,opinion_lexicon,nltk,afinn,final_score
A27H9DOUGY9FOS,-1,1,1,1
A39M64IZTC04G0,0,1,0,0
ATK3QFC6L1318,1,1,1,1
AWPODHOB4GFWL,1,1,1,1
A1R6DF0KOJ0TG6,1,1,1,1
A9Q28YTLYREO7,1,1,1,1
AVV8PPI6BDKVA,1,1,1,1
A14HV65O34S8EF,-1,-1,-1,-1
A39I79H1A2A8C3,-1,-1,0,-1
A2M4H4R4Z7UDZX,1,1,1,1
A2WFI5XFB7NHHJ,1,-1,1,1
AUQW6UEZFC7B2,1,1,1,1
AA72A0AYTWV5Y,1,1,1,1
A13NO1WIGJZUV4,1,1,1,1
AOIT2QUH8GRGA,1,1,1,1
A2D595HNMO9PHR,-1,-1,1,-1
A3ENN12GLNTUAF,1,1,1,1
A2OKCS5234ZV7S,1,1,1,1
A1MXSUEA3ZK5UZ,0,1,1,1
A31YQQYX9PU04Z,1,1,1,1
A2BTR8ZO8MB01D,1,1,1,1
A29DLKCN8QWO7B,1,1,1,1
A295JWKTJLM7YT,1,1,1,1
A1M3W0ROKC7F3C,1,1,1,1
A2M2O1DI1SCQDI,1,1,1,1
A2IOMS4TK2QSFW,1,1,1,1
A2YWH9COGWT8VU,1,1,1,1
A3QIEISBZP4QTV,1,1,1,1
A17RUD7RKGZUA4,1,1,1,1
A18758S1PUYIDT,1,1,1,1
A2UFG3DMVELP6I,1,1,1,1
A4FBBS25X3XEL,1,1,1,1
A23Q1T4MXZHFM7,1,1,1,1
ANZNLFBN62YKH,1,1,1,1
A2FX6OHBMQ9545,1,1,1,1
A1MIFONBFK8OWE,1,1,1,1
A1DZ4MTJY8LAVG,1,1,1,1
A3NNR95R50VB4W,1,1,1,1
A19O5ETNRJN39D,-1,-1,1,-1
AMEJTGF5NQLNH,0,1,1,1
A1DDVFGUC6NQD3,1,1,1,1
A36SSF310LBGSE,1,1,1,1
A63FDY7VFOMQV,1,1,1,1
A3R95JCH1K9R0S,1,1,1,1
A2IT3899H776LW,1,1,1,1
A3NWP0SFAC0ZD2,1,1,1,1
A1AFHYBINSG7PH,1,1,1,1
A3N2MVBI1A2I9Y,1,1,1,1
A3VP6XR88INLRB,1,1,1,1
A355WMP0CQBJFX,1,1,1,1
A2CU4L3OK00M23,0,1,-1,0
A41I67QYRAOSQ,1,1,1,1
A1XY417YALQB6G,1,1,1,1
A2PNB2HQTF51UE,1,1,1,1
ATQDMCZ904Y4W,1,1,1,1
A1IJINKEDO8E8A,1,-1,1,1
AQ8DU6XVA3USJ,1,1,1,1
A1ICAVFAYAJDUP,1,1,1,1
ALX2RTJW3NF0O,1,1,1,1
A1KPXFWEB2TLGR,1,1,1,1
A2M6FIWDCDWDVM,1,1,1,1
A3QEBUBAQHE4DI,-1,-1,-1,-1
A3AE7GKA6NF3ML,1,1,1,1
A1FBZRYTAA6O1Z,1,1,1,1
A2FEGRJQNU51P9,1,1,1,1
A18XYPKYS15YBP,0,1,1,1
A1EMDSTJDUE6B0,1,1,1,1
A7FMCZZVFHRLW,1,1,1,1
A861XPXU3SH9M,1,1,1,1
A2H3SK7N5T2ASO,1,1,1,1
A15BHBF0L0HV1F,1,1,1,1
A1748KGXK92TXY,1,1,1,1
A1LG64CVEGG5NT,1,1,1,1
A3EIH6UL4N0YW,1,1,1,1
A3TBQJ5HEV51ZC,1,1,1,1
A1A19C00QZVRTK,1,1,1,1
A2DPL3M7VU1GYZ,1,1,1,1
A100Y8WSLFJN7Q,1,1,1,1
A17WER66R17JEF,1,1,1,1
A2198FZZMTJ38H,1,1,1,1
A328S9RN3U5M68,1,1,1,1
A2V3P1XE33NYC3,1,1,1,1
A3L2U581LL17EB,1,1,1,1
A1Z9OQG9GZ26X2,1,1,1,1
A28ILXH590CMRJ,1,1,1,1
A2VOIE123XM7T5,1,1,1,1
ADX5JX5LKLC22,1,1,1,1
AA09N6UF7K8AC,1,1,1,1
A13TO1ZFAH9SVN,1,1,1,1
AWR2BFHVWHKXT,1,1,1,1
A1NHXG2NDI7MXG,1,1,1,1
A1VE2B3RHJQZHM,1,1,1,1
AM3W8N7L2AWFF,1,1,1,1
A17JY4CJX89PQD,1,1,1,1
A478YKPNCTUSI,1,1,1,1
ANGAFKOX9IG3W,1,1,0,1
A2W41HPK58KR10,1,1,1,1
A1LRF0ZCQHIK0I,-1,-1,-1,-1
AC4P2ILHYJS3S,1,1,1,1
A2SZDYCNZPTM74,1,1,1,1
AJ9G7XEBLY56C,-1,1,0,0
A1O0FV74YJWRPL,1,1,1,1
A17JF9HPSP3J3H,1,1,1,1
A2RX6PA6YAUGXW,0,1,1,1
A25M5W25GQPGDW,1,1,1,1
AHPAI9KYAUMGF,1,1,1,1
ATTETV8QSM1EX,1,1,1,1
A1UGZNYU3NHKTY,1,1,1,1
A396KT0U4VOI1E,1,1,1,1
A3J6UKT3S8GZ1K,-1,1,1,1
A1HHG9CDRDS8IG,1,1,1,1
A22TGAZTYUERZN,1,1,1,1
AO9A87DKEUH6J,1,1,1,1
A3LXHBXOVW3TZU,1,1,1,1
A37D2QEU08C1G8,1,1,1,1
A1Z6PSZN53T7BL,1,1,1,1
A9SBB3KS4EOAN,1,1,1,1
A1I7EUZ6IGE4IX,1,1,1,1
A1NISD0L3OTTYH,-1,1,0,0
A37SEUCH6PISDK,1,1,1,1
A1AIV6MT6LKX1N,1,1,1,1
A32L8SSXE7OKGK,1,-1,1,1
ANCOMAI0I7LVG,1,1,1,1
A3C7H0F73YXNTS,1,1,1,1
A2XUIU2GOMA68G,1,1,1,1
A3EFCK0HZQPNQI,1,1,1,1
A1U8WDQGJ0HZBP,1,1,1,1
A3SPJY549DXL10,0,1,1,1
A2RW7HXNEJ0QTQ,-1,1,1,1
A4OWXQLYVER4R,0,-1,1,0
AG9A3ZL7ODL6X,1,1,1,1
A2XTMDDO0UCOGW,1,1,1,1
A3GV24GH1AFXDJ,1,1,1,1
A1VT9SADFD9BZV,1,-1,1,1
A31VEVBN7K842C,1,1,1,1
A1O05HYBO2L271,1,1,1,1
A1UMSB7LAW0RIR,1,1,1,1
A22QDGL361UBG8,1,1,1,1
A27GP310AJR9JI,0,1,1,1
A39CX0EE4BZCZC,1,1,1,1
A30PZUE2YQHXGJ,0,1,1,1
A91VKBOACYQ7F,1,1,1,1
A3VC1CIRFDXJAY,1,1,1,1
A2PKRPEODLQSH1,1,1,1,1
A3A4WQL80WOTMH,1,1,1,1
A273SGLDMWWZ66,1,1,1,1
A1GHUN5HXMHZ89,1,1,1,1
AAVLB0GGEKRCO,1,1,1,1
A88PY6TRF86XF,1,1,1,1
A2GB3S7X9KV11X,1,1,1,1
A2PC9EFEVC8W59,1,1,1,1
A15Q7ABIU9O9YZ,1,-1,-1,-1
A2NUHWMHA9XNKV,1,1,1,1
A25HYPL2XKQPZB,1,1,1,1
A1BZZNC5DJG3TZ,1,1,1,1
A2TD13LRUGU46X,1,1,1,1
A2Z71PNFQ40HF6,-1,-1,1,-1
A16HYHVQIFMRP6,1,1,1,1
A1FYYU65Q436C2,1,1,1,1
A1G9FR0T9UGFQR,1,1,1,1
A304OFBH6YJX8M,1,1,1,1
A3D3D3349KVVFV,0,1,1,1
A1GRC5WGBMT8BF,1,1,1,1
AEXVGEMTTOXV9,1,1,1,1
A2HN2BU4VXBQ3H,0,1,1,1
AI2G6ZZS0G00Y,1,1,1,1
A2KWFGHX2PKJJB,1,1,1,1
A2NVQZ4Y7Y0J1R,1,1,1,1
A34X0JH8GU1TCL,1,1,1,1
A3A1MXZAP0AVYM,1,1,1,1
AHQYCRL2FMG3D,1,1,1,1
A1HX00DL0SZM1G,1,1,1,1
AWMI8T6T8R0Q5,0,1,1,1
ASM49K4PPX7EA,1,1,1,1
A2WB4OWBUH2VQX,1,1,1,1
A1KFBAPAKMEQUF,1,1,1,1
A16837CKPTA07O,1,1,1,1
A2ZLROGIL2V7GV,1,1,1,1
A2PV19AS7V6JY3,1,1,1,1
A1655SGPPUUCRP,1,1,1,1
A3FX9KYW53MRBD,-1,-1,1,-1
A2ZQ75P93V9MX9,-1,-1,1,-1
A3LFFFKJEO2ZFK,0,1,1,1
A30LQLFU8JFDPM,0,1,1,1
A3TXNSN0LN4CRC,1,1,1,1
A7Y6AVS576M03,1,1,1,1
A1ESIMERJCCX6,1,1,1,1
A3S1N6O1HAURLJ,1,1,1,1
AED6N2DP65192,1,1,1,1
A2VN0HXQR27YF,-1,-1,-1,-1
A103VZ3KDF2RT5,-1,-1,-1,-1
AZ289K8AEXF21,1,1,-1,1
A1MJ2N6XARKOFQ,1,1,1,1
A2KW1R12GJO3BI,1,1,1,1
A112UYCJEYZPIP,-1,1,1,1
A2DB5YBO8INXWZ,1,1,1,1
A21TCW8DZTOJKS,1,1,1,1
A26WR0278FJD0Q,1,1,1,1
AQZH7YTWQPOBE,1,1,1,1
A2ZHLRZA2UHKNN,1,1,1,1
A24TXEHKPFHT0J,1,1,1,1
A3C9RIZVADD3B6,1,1,1,1
A2AZOD3HG2EL5N,1,1,1,1
A2GMUNBN9HKRZS,1,1,1,1
A37J2XO8DNJU5U,1,1,1,1
A2A3L2QLRWD5F4,1,1,1,1
AVRA2OVCB1K5I,1,1,1,1
AT7DYVPTAY36C,1,1,1,1
A1VQNX0TFZZPCD,1,1,1,1
ADLN37B0153N,-1,1,1,1
A1EI65WJC85U68,1,1,1,1
A87RT63V7SMD3,-1,-1,-1,-1
A3S3HYKVSZKFNF,1,1,1,1
A3TI9JJG07FY3U,1,1,1,1
A37GQ47VYV6Z3T,1,1,1,1
A2J39S4NZE4R40,1,1,1,1
A1PILMASEE483C,1,1,1,1
AEP7IR7KT2UIA,1,1,1,1
A15XXOVX6ZNNRO,1,1,1,1
A17FLA8HQOFVIG,0,1,1,1
AJFX9A874WWHI,-1,-1,-1,-1
A141HP4LYPWMSR,1,1,1,1
AOVJYIUATQKR5,1,1,1,1
A3PVJSJT8JZUAC,1,1,1,1
A1K5KYE4MNQXG,1,1,1,1
A3OI841P5R6FCH,0,1,1,1
ADX5JX5LKLC22,1,1,1,1
A2R93V4Q29O83N,1,1,1,1
A1PO10SDIYHOMJ,0,1,1,1
A33N2SW8DMY4ZZ,-1,1,1,1
A2RWH9TYO412RC,1,-1,-1,-1
A3GGH1ZRO1X6AN,-1,1,-1,-1
AYDMO7GMLIQJ3,-1,-1,0,-1
A2YMUM79BAB0TF,0,-1,1,0
A6XTOZKDV7X94,1,1,1,1
AZS4LNQFPHPZL,1,1,1,1
A1QQPIUXWD4G0Z,1,1,1,1
A2NHDJD281DRHM,1,1,1,1
A205217DOX0SCR,1,1,1,1
A3PU5P5DWN5OOZ,1,1,1,1
A898P4CKWFLTT,-1,-1,-1,-1
AIDZDBQXIB0SE,1,1,1,1
A15S44J4NHU4LS,-1,-1,-1,-1
A21ZR0P46CLQTE,-1,-1,-1,-1
A303AOOHDU1VZ2,-1,-1,-1,-1
A2MMIZ653FBNPT,-1,-1,-1,-1
A2DRCJ1YOFTZKK,1,1,1,1
A1XFGXKWNL752X,1,1,1,1
A2NNTNC715AJ50,1,1,1,1
A1VNKHD87ZGMQE,-1,-1,-1,-1
A3JJA7N685ASZG,1,1,1,1
A1ERZIZ48CBCSB,1,1,1,1
A1N8K1X0OLLADY,1,1,1,1
A3UBWCLVJ6WN2V,1,1,1,1
AYG1U47VFZ165,0,1,1,1
A1VP82VQ411AHH,1,1,1,1
A21QS6KC7OZ5F4,1,1,1,1
AFPJRGS99VU8P,1,1,1,1
A3KZWXHLEMAZID,-1,1,0,0
AJUDAZVU7UMJC,1,1,1,1
A1G4B9IY8WU9ES,1,1,1,1
A18SC0K2OUTGFF,0,1,1,1
AZC67HZXX5EQ1,1,1,1,1
A3DR96TWTYQBIB,0,1,1,1
AFQ1KU9Z93PES,0,1,1,1
A3NNV90ZY500DK,0,1,1,1
A3JLOIXFM75QNV,1,1,0,1
A2NTNKFWSU5K7R,1,1,1,1
A5711PC5T465W,1,1,1,1
A12PNLQL3E6W4C,1,1,1,1
A3UJJGY799F76I,1,1,1,1
A3BVH10DSPW8YO,0,1,1,1
ANE9HHP1P8LEP,1,1,1,1
AGKMDWGVABVH,-1,1,1,1
A27RJ30RN5K9MX,1,1,1,1
ASIDGLECI96TG,1,1,1,1
A26DX7HHQ7EM60,0,-1,0,0
A1U15OYLAI4DD3,1,-1,1,1
A34F4ZL5HE99AT,-1,-1,-1,-1
A1Q44JC73WF03N,1,-1,1,1
A2UAQ4AB1XU623,-1,1,1,1
A32AK8FOAZEPE2,-1,-1,-1,-1
AIQ2YYD0AU151,1,1,1,1
AVBFGFL4E7JHF,1,1,1,1
A3QLZ79JF6R1A4,-1,1,1,1
A2NJO6YE954DBH,1,1,1,1
AY99WNAYRUIFC,1,1,1,1
A1KBEHXGW71JDO,-1,1,1,1
A3UP5OPI1HA6WS,1,1,1,1
A36TASDZP9B4R6,1,1,1,1
A3J510E9W1CJ1K,-1,-1,0,-1
A1GVLNWPIGLICW,1,1,1,1
AON6QJ88F2ARM,0,1,1,1
A2VLH0R0UP9ULJ,-1,-1,-1,-1
ASUEUK3RMFZHR,1,-1,0,0
A2NK3PX0BLER6M,1,1,1,1
A2ZYB2S79GU5WL,1,1,1,1
A2D4RUMDYEF0S5,0,1,1,1
A2AW4A1E87R9UH,0,1,-1,0
AQ01Q3070LT29,-1,-1,-1,-1
A2YWGP8UUU66SQ,-1,-1,-1,-1
A1HBXCEAW5FEBJ,0,1,1,1
A2AFM0SLLFPSJ1,1,1,1,1
A2887J6P8VPB5H,-1,1,-1,-1
A3I3UF46UWQJFU,1,1,1,1
A2FRKEXDXDN1KI,1,1,1,1
A2AVV9LV9UXT6F,1,1,1,1
A2ZDBOE1KHVHRA,1,1,1,1
A1YVPBDG2OFMD2,1,1,1,1
A14NA0W8ESGDSI,1,1,1,1
A1KMDI5N5ZT85T,1,1,1,1
A3NPQO93S1ENI8,0,1,0,0
A10ODC971MDHV8,1,1,1,1
AI0P5DBIEN5RT,1,1,1,1
A7415KR7WH7CX,1,1,1,1
A13F8LV1XX4UHQ,1,1,1,1
AD8CNMZFHUN1D,1,1,1,1
A2SPHTIPK9IKDQ,1,1,1,1
A37IL8B2RL95PL,-1,1,-1,-1
A2GRC6IJRA7W4H,1,1,1,1
A3760PCQD2MPIO,1,1,1,1
AMI43JPFFO2TN,0,-1,-1,-1
AEM0D3OFOR9RQ,1,1,1,1
A3EXIM9H3PLDX9,1,1,1,1
A2BN2CP2LDD8QJ,1,1,1,1
A2CBIB1NYHOH87,1,1,1,1
A25AXWGBGJ5KBS,1,1,1,1
A2UBFC3U1ZU7C8,1,1,1,1
A2D6TWLYZ0Z6O9,1,1,1,1
A3BXC8JS7FNH0Y,1,1,1,1
A6EGKP0KY5B1A,-1,-1,-1,-1
A3GYVMUS7SSDFW,1,1,1,1
AJYGQV81FSFE2,-1,1,-1,-1
A39F5HLWQEZD7E,1,1,1,1
A21SBJ6QU1C4IX,-1,1,-1,-1
APX3HA2INR9QM,-1,-1,-1,-1
AR2ZNBYLIUYQ6,-1,-1,-1,-1
A1TK6WNUIAEQRU,0,1,-1,0
A37FUJC2L7DSPT,-1,1,-1,-1
A18LC2UPXD4DZ9,-1,-1,-1,-1
A1LMZB5FVKBKPB,-1,1,1,1
A85KCC7MZQ7GB,-1,1,-1,-1
A2JECU4P2NP7YA,1,1,-1,1
A35LEV42ZRPUHR,0,-1,0,0
A39HF4IVF4LRHD,1,1,-1,1
APTVTG9K46GE0,0,1,1,1
A53S8VVT1IHA7,-1,1,-1,-1
A1JR2MV0G2BYXO,-1,-1,-1,-1
A1RBMOHIBUBC4U,1,1,0,1
A1GHO6BR5J0NHX,1,-1,1,1
A1R0VUVAIDXKOT,1,1,1,1
A5QDZTTB2R1Q2,1,1,1,1
A1IO6CH22LIMT1,1,-1,1,1
APV42WWCRYX5U,-1,-1,-1,-1
A196IMI8WKWDFK,-1,1,1,1
A62OMGKSVPZZU,-1,-1,-1,-1
A1J03J0HZ7KU5T,1,1,1,1
A2AOZQ3WTNVVOK,1,-1,1,1
AV6QDP8Q0ONK4,-1,-1,-1,-1
A1GGOC9PVDXW7Z,-1,-1,-1,-1
AOY8YY8IOM71U,1,1,1,1
A1GGOC9PVDXW7Z,-1,-1,-1,-1
A1GGOC9PVDXW7Z,0,-1,-1,-1
A3MV1KKHX51FYT,-1,-1,-1,-1
AIMR915K4YCN,-1,1,0,0
A1GWSZ4I2QGCNJ,-1,-1,-1,-1
AEXTGSES7BVSV,1,1,1,1
A324LH8S4C8U4W,1,1,1,1
A96DHMTN072M1,1,1,1,1
A1L7G9JSLCY384,1,1,1,1
A1ZPC1MHSY1RUY,1,1,1,1
A3BSL4PQKPH3SQ,1,1,1,1
A2IMHV5ZARXIDR,1,1,1,1
A25JH6CO4DVINS,1,1,1,1
A2YD21XOPJ966C,1,1,1,1
A1JY13815273PS,1,1,1,1
A18L8A19V8XHRF,1,1,1,1
A642JVHMR691N,-1,1,1,1
A1IR2GGUJUELG0,1,1,1,1
A2H22I2RWE0HOV,1,1,1,1
A3W06CKKUVIAIY,0,1,0,0
A286G67EK7Q1WD,1,1,1,1
A3JPPR6JT75N0E,1,1,1,1
A1BVV2K1BKGPD5,1,1,1,1
A9UU8OR0TBMHE,-1,1,1,1
A2SGR7LE899LGG,0,1,1,1
A3HPOCPJJQNMWN,1,1,1,1
A22IK3I6U76GX0,1,1,1,1
AWMNPNH2LXFGX,0,1,1,1
AGG9653C0BX5Y,1,1,1,1
A3D134TP9RT5Y8,1,1,1,1
A3EE653AB7FKQE,1,1,1,1
A2ULZL8DI2G7P,0,1,1,1
A1Z8YN8MD5B5EC,-1,-1,-1,-1
A3MSH2YW203752,1,1,1,1
AB6XFM6GDGCOZ,1,1,1,1
A2FFYQZPUGOX58,1,1,0,1
A1SMO511H9HDXL,1,1,1,1
A1ML24DBPYWKTN,1,1,1,1
A36AS7LV80LE8D,1,1,1,1
A27W5AJNP6YX7Z,1,1,1,1
A284JHTBVKHSQ8,1,1,1,1
A3UU05EXTE0PCY,1,1,1,1
A1A7YFVQXXN94,1,1,1,1
AZG0RBU14XWZ6,1,1,1,1
AXVTC1NCLZI7P,1,1,1,1
A2XD1IYPRTS0O5,1,1,1,1
A1A9I70YO7XSO4,0,1,1,1
A14NX8Z4OH501G,1,1,1,1
A6KUF4KCOS1K6,1,1,1,1
A3IZ8I22Q11JOZ,1,1,1,1
A1GB0HW46Y2EB,1,1,1,1
A3E0UE5XMWT5IS,1,1,1,1
A1457FZDPA8S6S,1,1,1,1
A2AIOLDNAA6742,1,1,1,1
A2TC3US6TWXNUS,1,1,1,1
A2TAAFL2CH550H,1,1,1,1
A1OF07M0KSXRZA,1,1,1,1
A2U0ABMZK6XBVF,-1,1,1,1
A3OEECMCM2T4KQ,-1,1,1,1
AD0J5KK4WQXNS,1,1,1,1
AE5WKWZRVS60N,0,1,1,1
A38ZTUNQJVGP6S,-1,1,1,1
A3II1ACACC5MTX,1,1,1,1
A2KPOGTFS2AHWG,1,-1,0,0
A1O2R3NKAP636K,1,1,1,1
A3EOYN87MMNHL1,1,1,1,1
A3PJOERCZEQFI5,1,1,1,1
A1L73PPUV3M6VU,1,1,1,1
A2HPYKC3S7DHZC,1,1,1,1
A1X7FS1H4R02W1,1,1,1,1
A1VDTPFDTVWMUY,1,1,1,1
A1ZEWZG6AKB7C0,-1,-1,-1,-1
A29Y3P1WQEXMXV,1,1,1,1
A30TK6U7DNS82R,-1,-1,-1,-1
A3N9CZ1RK4OTYE,1,1,1,1
A2SGR7LE899LGG,1,1,1,1
A2ZSC81MXLBELX,1,1,1,1
A25ZVI6RH1KA5L,1,1,1,1
A1BWHXTFOVF9CY,1,1,1,1
A16Q1LYIDE2WDZ,1,1,1,1
A16CZRQL23NOIW,1,1,1,1
A24FSR37TN4MSF,1,1,1,1
A1H2SCAYWQLMC0,1,1,1,1
A3N4OZD5JKLEL2,0,-1,0,0
A193A7T1E8CUTB,1,1,1,1
AUPGEVBC9RV12,1,1,1,1
A85D20W8CHYM5,0,1,1,1
AF6894EAENX11,1,1,1,1
A1LS8REVM1FGCX,1,1,1,1
A3CWZ409NU9UR0,0,1,1,1
A2QP12447GKEDU,1,1,1,1
ACGNP00TEIEV3,1,1,1,1
A2ZRQGBVQQZ698,1,1,1,1
A2H8EF6UQIK34K,1,1,1,1
A20EEWWSFMZ1PN,0,1,1,1
A15N5W09G9KLBU,-1,1,1,1
AIOXMENE1HBR7,1,1,1,1
A3160YSU1KRL8E,1,1,1,1
A2RRCZLVCA7A7,1,1,1,1
A3MCMOX8M5EJUS,1,1,1,1
A1ZLGSW21GS8WE,1,1,1,1
A2K1V1Z41X96HF,-1,-1,-1,-1
A11XQIT4N5TC8S,1,1,1,1
A2ZZN2ADSY4BPS,1,1,1,1
A3JT29L4YFEIMJ,1,1,1,1
A7EUWJK1EW2AR,1,1,1,1
A110UAX71H8R0W,0,1,1,1
A1RRT0R0ARCRE7,1,1,1,1
A231SN9GIOZ9CU,1,1,1,1
A22U5T9Q0GI5GV,1,1,1,1
A36C2A4SWATA45,1,1,1,1
A5HQ4DKZX91T6,1,1,1,1
A1MEP8XST8SQKH,1,1,1,1
AIMR915K4YCN,-1,-1,-1,-1
A16467YDRJ9WCH,1,1,1,1
A1MURC73B6RQCY,1,1,1,1
AYLPDW7CWJZKJ,1,1,1,1
A1R3W119URF5B9,1,1,1,1
A17U4YXN5G7UAP,1,1,1,1
A3LZGLA88K0LA0,1,1,1,1
A1HVZ0569ZHZW9,1,1,1,1
A2H9QVEHRPUV9F,1,1,1,1
AMCJYMLWP5WSF,0,1,1,1
A3RRBPUGD7UOSP,1,1,1,1
A10LIHFA4SSK3F,-1,-1,-1,-1
A27QZDO1FRRFCV,1,1,1,1
ATD58IZSR0GL4,1,-1,-1,-1
A3KFRQZ4TVANBW,1,1,1,1
A1Y6LC4JFBCGZN,1,1,1,1
A2W00XKTTF1G0Z,1,1,1,1
A28OMX3LCK86OV,1,1,1,1
A2OVUDBRWGX0LL,1,-1,-1,-1
A26HFSVLAGULIM,1,1,1,1
A3P121GNV5QYIN,1,1,1,1
AES0JMK0KYYHI,1,1,1,1
A1T0Z4J5PPLTC7,1,1,1,1
A92LD431P843F,1,1,1,1
A14QW3EMN8PBZV,1,1,1,1
A2TOU0N8XE68W4,1,1,1,1
AWLFVCT9128JV,1,-1,-1,-1
A13BLSXL78EMRX,1,1,1,1
AC1U7PPQJKA9D,1,1,1,1
AAYW1H4SMNOI,1,1,1,1
A2KVUYPLEW4LXT,1,1,1,1
A2KFUFXQ1YTWNT,1,1,1,1
A2OAX6CKFKSQVA,1,1,1,1
AFK6J1EL70ZGG,1,1,1,1
A1N8ENRW29MY4X,1,1,1,1
A3ADUOVTY3TIRU,1,1,1,1
A3ASR7JA7MPKW4,1,1,1,1
A2AOZQ3WTNVVOK,1,1,1,1
ARFBRSE35ZJ6A,1,1,1,1
A2D9IEFJGB483Q,1,1,1,1
A317526BROLHAS,1,1,1,1
A3NIQK6ZLYEP1L,1,1,1,1
A16VWWB8G00EPV,1,1,1,1
A2AML5BI49ST3F,1,1,1,1
A2RD0B8LLOSMCQ,1,1,1,1
A25Q9D6QMU4KNT,1,1,1,1
AZV76KEKPRUJ1,1,1,1,1
A358VH2AI4KO9A,1,1,1,1
AUM3YMZ0YRJE0,1,1,1,1
A34IADOC8VMMJT,0,-1,1,0
AY6QWTWG99N2B,1,1,1,1
A9RNMO9MUSMTJ,0,-1,0,0
A3929TSRPOQWVM,1,1,1,1
A3N2OITBFW3FUF,1,-1,1,1
A1WMVV2AHMONSO,0,1,1,1
A8PZDIAF0NTIS,1,1,1,1
A2Q13PHEXGR48Q,1,1,1,1
AJYGQV81FSFE2,1,1,-1,1
A3D550GH0U6T5C,1,1,1,1
A2WZ1B92F81LJJ,1,1,1,1
A1J2931UBBJPXM,1,1,1,1
AXY18W5QMN7UV,1,1,1,1
A1G1YRACFRHI8P,1,1,1,1
A12V5I7WHOYXVK,1,1,1,1
A3O2RCKAMSE9X7,1,1,1,1
AEIU007YWF5Z,1,1,1,1
AL9AVFFM4955D,1,1,1,1
A1VZLLDNLURGJB,1,1,1,1
A39CX0EE4BZCZC,1,1,1,1
A33Z6A2APFW0L0,1,1,1,1
A1MU7X24DJZYPH,1,1,1,1
A2V489WRU2N2TV,1,1,1,1
A1DL822FZZQA00,1,1,1,1
A3C22O5E2KMOOB,1,1,1,1
A3FPOTCZDMEONK,1,1,1,1
A18W6JE3GFSD5I,1,1,1,1
AW9ERFQZBVCO6,1,1,1,1
A2VE83MZF98ITY,0,1,1,1
A2KIBG7DYMHER7,1,1,1,1
A1Y87E22UVYCE6,1,1,1,1
A1P1T0PFD4F0VS,1,1,1,1
A2NOZB6VZCTOI4,-1,-1,0,-1
A3JYW6GWR9CS5P,1,-1,1,1
A16NHMMS2S0Z3F,1,1,1,1
APDD1N7ZSYM8P,1,1,1,1
A2IM9U6U6E2E9D,1,1,1,1
A379SAP75SPDHD,1,1,1,1
A13RM1AWD1C5ZR,1,1,1,1
A24QE8VGWW3L4G,-1,-1,-1,-1
AFA2BUKOL8U1B,0,1,1,1
AGU2ZGUBFCJTJ,1,1,1,1
A3RTMMQ82HB27H,1,1,1,1
A3QQMEYFS7AR5N,1,1,1,1
A388F7LYD04STN,1,1,1,1
A3G65Z3IU8HVES,1,1,1,1
A194PR7PPY5M93,-1,1,1,1
A15W94TIP8HCKM,1,1,1,1
